Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/trackmate-sc/TrackMate,https://sourcegraph.com/github.com/trackmate-sc/TrackMate,src/main/java/fiji/plugin/trackmate/Spot.java,https://sourcegraph.com/github.com/trackmate-sc/TrackMate/-/blob/src/main/java/fiji/plugin/trackmate/Spot.java,"[src/main/java/fiji/plugin/trackmate/Spot.java, [[0, 13]]]","[555, [[0, 9]]]; [563, [[0, 9]]]"
content,github.com/nexmark/nexmark,https://sourcegraph.com/github.com/nexmark/nexmark,nexmark-flink/src/main/java/com/github/nexmark/flink/metric/cpu/SysInfoLinux.java,https://sourcegraph.com/github.com/nexmark/nexmark/-/blob/nexmark-flink/src/main/java/com/github/nexmark/flink/metric/cpu/SysInfoLinux.java,"[nexmark-flink/src/main/java/com/github/nexmark/flink/metric/cpu/SysInfoLinux.java, [[14, 27]]]","[506, [[0, 26]]]"
content,github.com/activej/activej,https://sourcegraph.com/github.com/activej/activej,core-http/src/main/java/io/activej/dns/DnsCache.java,https://sourcegraph.com/github.com/activej/activej/-/blob/core-http/src/main/java/io/activej/dns/DnsCache.java,"[core-http/src/main/java/io/activej/dns/DnsCache.java, [[10, 23]]]","[145, [[0, 15]]]"
content,github.com/tigase/tigase-server,https://sourcegraph.com/github.com/tigase/tigase-server,src/main/java/tigase/auth/BruteForceLockerBean.java,https://sourcegraph.com/github.com/tigase/tigase-server/-/blob/src/main/java/tigase/auth/BruteForceLockerBean.java,"[src/main/java/tigase/auth/BruteForceLockerBean.java, [[0, 13]]]","[260, [[0, 13] [0, 13]]]"
content,github.com/jstachio/jstachio,https://sourcegraph.com/github.com/jstachio/jstachio,compiler/apt/src/main/java/io/jstach/apt/internal/util/ClassRef.java,https://sourcegraph.com/github.com/jstachio/jstachio/-/blob/compiler/apt/src/main/java/io/jstach/apt/internal/util/ClassRef.java,"[compiler/apt/src/main/java/io/jstach/apt/internal/util/ClassRef.java, [[13, 26]]]","[63, [[0, 11]]]"
content,github.com/CallForSanity/Gaalop,https://sourcegraph.com/github.com/CallForSanity/Gaalop,codegen-verilog/src/main/java/de/gaalop/codegen_verilog/VerilogIR/VerilogIRConverterVisitorCookies.java,https://sourcegraph.com/github.com/CallForSanity/Gaalop/-/blob/codegen-verilog/src/main/java/de/gaalop/codegen_verilog/VerilogIR/VerilogIRConverterVisitorCookies.java,"[codegen-verilog/src/main/java/de/gaalop/codegen_verilog/VerilogIR/VerilogIRConverterVisitorCookies.java, [[16, 29]]]","[513, [[0, 17]]]; [605, [[0, 10]]]"
content,github.com/depsypher/pngtastic,https://sourcegraph.com/github.com/depsypher/pngtastic,src/main/java/com/googlecode/pngtastic/core/processing/Base64.java,https://sourcegraph.com/github.com/depsypher/pngtastic/-/blob/src/main/java/com/googlecode/pngtastic/core/processing/Base64.java,"[src/main/java/com/googlecode/pngtastic/core/processing/Base64.java, [[0, 13]]]","[672, [[0, 16]]]; [731, [[0, 16]]]"
content,github.com/stick-i/scblogs,https://sourcegraph.com/github.com/stick-i/scblogs,gateway-service/src/main/java/cn/sticki/gateway/filter/PathMatcherFilter.java,https://sourcegraph.com/github.com/stick-i/scblogs/-/blob/gateway-service/src/main/java/cn/sticki/gateway/filter/PathMatcherFilter.java,"[gateway-service/src/main/java/cn/sticki/gateway/filter/PathMatcherFilter.java, [[16, 29]]]","[37, [[0, 14]]]"
content,github.com/imglib/imglib2,https://sourcegraph.com/github.com/imglib/imglib2,src/main/java/net/imglib2/view/Views.java,https://sourcegraph.com/github.com/imglib/imglib2/-/blob/src/main/java/net/imglib2/view/Views.java,"[src/main/java/net/imglib2/view/Views.java, [[0, 13]]]","[996, [[0, 14]]]; [1032, [[0, 14]]]; [1230, [[0, 37] [0, 29]]]; [1255, [[0, 37] [0, 15] [0, 15]]]; [1280, [[0, 37] [0, 29]]]; [1329, [[0, 37] [0, 15] [0, 15]]]; [1681, [[0, 16]]]"
content,github.com/OCR4all/LAREX,https://sourcegraph.com/github.com/OCR4all/LAREX,src/main/java/de/uniwue/web/io/FileDatabase.java,https://sourcegraph.com/github.com/OCR4all/LAREX/-/blob/src/main/java/de/uniwue/web/io/FileDatabase.java,"[src/main/java/de/uniwue/web/io/FileDatabase.java, [[0, 13]]]","[182, [[0, 14]]]"
