Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/ltearno/pom-explorer,https://sourcegraph.com/github.com/ltearno/pom-explorer,pom-explorer-core/src/main/java/fr/lteconsulting/pomexplorer/Project.java,https://sourcegraph.com/github.com/ltearno/pom-explorer/-/blob/pom-explorer-core/src/main/java/fr/lteconsulting/pomexplorer/Project.java,"[pom-explorer-core/src/main/java/fr/lteconsulting/pomexplorer/Project.java, [[18, 31]]]","[604, [[0, 16] [0, 19] [0, 13]]]"
content,github.com/FabricMC/tiny-remapper,https://sourcegraph.com/github.com/FabricMC/tiny-remapper,src/main/java/net/fabricmc/tinyremapper/AsmRemapper.java,https://sourcegraph.com/github.com/FabricMC/tiny-remapper/-/blob/src/main/java/net/fabricmc/tinyremapper/AsmRemapper.java,"[src/main/java/net/fabricmc/tinyremapper/AsmRemapper.java, [[0, 13]]]","[60, [[0, 9]]]; [90, [[0, 9]]]"
content,github.com/qupath/qupath,https://sourcegraph.com/github.com/qupath/qupath,qupath-core/src/main/java/qupath/lib/roi/ClosedShapeStatistics.java,https://sourcegraph.com/github.com/qupath/qupath/-/blob/qupath-core/src/main/java/qupath/lib/roi/ClosedShapeStatistics.java,"[qupath-core/src/main/java/qupath/lib/roi/ClosedShapeStatistics.java, [[12, 25]]]","[217, [[0, 13] [0, 15]]]"
content,github.com/tzaeschke/ode4j,https://sourcegraph.com/github.com/tzaeschke/ode4j,demo/src/main/java/org/ode4j/demo/DemoConvex.java,https://sourcegraph.com/github.com/tzaeschke/ode4j/-/blob/demo/src/main/java/org/ode4j/demo/DemoConvex.java,"[demo/src/main/java/org/ode4j/demo/DemoConvex.java, [[5, 18]]]","[70, [[0, 9] [0, 9]]]"
content,github.com/Jaspersoft/jasperreports,https://sourcegraph.com/github.com/Jaspersoft/jasperreports,core/src/main/java/net/sf/jasperreports/engine/fill/PartReportFiller.java,https://sourcegraph.com/github.com/Jaspersoft/jasperreports/-/blob/core/src/main/java/net/sf/jasperreports/engine/fill/PartReportFiller.java,"[core/src/main/java/net/sf/jasperreports/engine/fill/PartReportFiller.java, [[5, 18]]]","[324, [[0, 18]]]"
content,github.com/consulo/consulo-unity3d,https://sourcegraph.com/github.com/consulo/consulo-unity3d,plugin/src/main/java/consulo/unity3d/jsonApi/UnitySetDefinesHandler.java,https://sourcegraph.com/github.com/consulo/consulo-unity3d/-/blob/plugin/src/main/java/consulo/unity3d/jsonApi/UnitySetDefinesHandler.java,"[plugin/src/main/java/consulo/unity3d/jsonApi/UnitySetDefinesHandler.java, [[7, 20]]]","[113, [[0, 18]]]"
content,github.com/FabricMC/fabric-loader,https://sourcegraph.com/github.com/FabricMC/fabric-loader,src/main/java/net/fabricmc/loader/impl/gui/FabricMainWindow.java,https://sourcegraph.com/github.com/FabricMC/fabric-loader/-/blob/src/main/java/net/fabricmc/loader/impl/gui/FabricMainWindow.java,"[src/main/java/net/fabricmc/loader/impl/gui/FabricMainWindow.java, [[0, 13]]]","[313, [[0, 13] [0, 13]]]"
content,github.com/openrocket/openrocket,https://sourcegraph.com/github.com/openrocket/openrocket,core/src/main/java/info/openrocket/core/util/Quaternion.java,https://sourcegraph.com/github.com/openrocket/openrocket/-/blob/core/src/main/java/info/openrocket/core/util/Quaternion.java,"[core/src/main/java/info/openrocket/core/util/Quaternion.java, [[5, 18]]]","[232, [[0, 9]]]; [243, [[0, 9]]]; [266, [[0, 9]]]; [275, [[0, 9]]]"
content,github.com/tordanik/OSM2World,https://sourcegraph.com/github.com/tordanik/OSM2World,core/src/main/java/org/osm2world/math/VectorXYZ.java,https://sourcegraph.com/github.com/tordanik/OSM2World/-/blob/core/src/main/java/org/osm2world/math/VectorXYZ.java,"[core/src/main/java/org/osm2world/math/VectorXYZ.java, [[5, 18]]]","[165, [[0, 12]]]"
content,github.com/SkyblockerMod/Skyblocker,https://sourcegraph.com/github.com/SkyblockerMod/Skyblocker,src/main/java/de/hysky/skyblocker/skyblock/StatusBarTracker.java,https://sourcegraph.com/github.com/SkyblockerMod/Skyblocker/-/blob/src/main/java/de/hysky/skyblocker/skyblock/StatusBarTracker.java,"[src/main/java/de/hysky/skyblocker/skyblock/StatusBarTracker.java, [[0, 13]]]","[123, [[0, 15]]]"
content,github.com/jenetics/jenetics,https://sourcegraph.com/github.com/jenetics/jenetics,jenetics/src/main/java/io/jenetics/Mutator.java,https://sourcegraph.com/github.com/jenetics/jenetics/-/blob/jenetics/src/main/java/io/jenetics/Mutator.java,"[jenetics/src/main/java/io/jenetics/Mutator.java, [[9, 22]]]","[113, [[0, 19]]]"
